bait_uniprot	bait_symbol	bait_usage
A0A024R136	RACGAP1	1
A0A024R275	NA	1
A0A024R493	NA	1
A0A024R4B0	NA	1
A0A024R4Q5	TFPT	1
A0A024R4Z4	ZFP91	1
A0A024R5S0	NA	3
A0A024R6G0	NA	1
A0A024R6X4	PLEKHG4	1
A0A024R8A9	NA	1
A0A024R8L2	NA	1
A0A024R8L5	NA	1
A0A024RA76	NA	1
A0A024RBS3	NA	1
A0A024RCD1	NA	1
A0A024RCZ4	NA	1
A0A087WSW0	HELT	1
A0A087WUI6	PIBF1	1
A0A087WZT3	BOLA2B	1
A0A087WZU1	PTPRQ	1
A0A087WZY1	NA	1
A0A0A0MR80	EP400	1
A0A0B4J1Y2	TTC21A	2
A0A0B4J2F0	PIGBOS1	1
A0A0B4J2F2	LOC102724428	1
A0A0C4DFN3	MGLL	1
A0A0C4DFT7	GYPA	1
A0A0C4DFY0	SELPLG	2
A0A0C4DFY5	GPRC5C	1
A0A0C4DG38	ING3	2
A0A0C4DG62	NA	1
A0A0C4DG91	NME6	1
A0A0C4DG94	ATP11B	1
A0A0C4DGF1	ZBTB32	3
A0A0C4DGJ5	PTCH1	1
A0A0C4DGM4	HYKK	2
A0A0C4DGQ3	ZNF556	1
A0A0C4DGQ7	EML2	1
A0A0C4DGT3	IQSEC1	1
A0A0C4DGV4	LAMTOR5	2
A0A0C4DGX9	TTC8	1
A0A0G2JHK4	DDR1	1
A0A0K2S4Q6	CD300H	1
A0A0S2Z328	NA	1
A0A0S2Z364	NA	1
A0A0S2Z3D2	NA	1
A0A0S2Z3D6	NA	1
A0A0S2Z3E6	CAPN3	1
A0A0S2Z3E8	NA	1
A0A0S2Z3E9	NA	1
A0A0S2Z3G1	NA	1
A0A0S2Z3K0	NA	1
A0A0S2Z3N5	FANCC	1
A0A0S2Z3N6	NA	1
A0A0S2Z3P2	NA	1
A0A0S2Z3R2	NA	1
A0A0S2Z3S1	NA	1
A0A0S2Z3T7	NA	1
A0A0S2Z3U4	NA	1
A0A0S2Z3V1	EFEMP1	1
A0A0S2Z3X1	NA	1
A0A0S2Z3Y6	NA	1
A0A0S2Z3Z3	NA	1
A0A0S2Z408	NA	1
A0A0S2Z442	NA	1
A0A0S2Z470	PRCC	1
A0A0S2Z4A7	NA	1
A0A0S2Z4D7	NA	1
A0A0S2Z4D9	NA	1
A0A0S2Z4E4	NA	1
A0A0S2Z4E5	NA	1
A0A0S2Z4F2	NA	1
A0A0S2Z4G9	RNF6	1
A0A0S2Z4H3	NA	1
A0A0S2Z4I0	NA	1
A0A0S2Z4M0	NA	1
A0A0S2Z4M1	NA	1
A0A0S2Z4M5	NA	1
A0A0S2Z4P3	NA	1
A0A0S2Z4Q4	NA	1
A0A0S2Z4Q8	NA	1
A0A0S2Z4U3	NA	4
A0A0S2Z4Y0	NA	1
