gene bait_usage
RAB34 1
ZNF512 2
KLHL3 1
ZNF514 1
NXPH2 1
EVI2A 1
TFCP2 4
SNTA1 5
MYH14 1
NCF1 12
EEF1G 6
MAN2A2 1
SHISA3 2
GRM1 1
CCNK 4
FNTA 2
CCDC96 1
B4GALT6 1
ATG3 2
H1-7 1
GATA1 10
AVPR2 1
NR5A1 4
SLAMF7 4
MYPOP 1
TADA3 7
MFSD4A 1
DOCK2 3
CACNB1 3
TRNT1 1
WDR59 2
WNT5A 3
RARB 3
EIF4A1 5
LGALS13 1
GRN 13
NBEA 1
COX2 1
SCLT1 2
FAM124B 5
TSEN2 2
SNCAIP 4
LPAR6 1
ORC6 7
HP 2
ATIC 1
NFASC 2
MYORG 1
ASXL2 3
RPL6 1
FGF1 4
APLF 7
SPG21 4
IL18RAP 1
GPM6A 2
DAPP1 3
NME1 8
CPNE3 1
DAB2 6
MAB21L3 2
SYNCRIP 12
TICAM1 7
TBX15 1
RAD17 4
CD36 2
ROPN1 5
GABARAPL1 10
SRRM4 1
CYB561D2 2
DMWD 5
GCSAM 2
WHRN 1
KRT78 1
EGF 8
DLG4 9
FOXK1 2
XRCC2 7
CCL2 3
SLMAP 2
LDLRAD4 1
LIMD1 1
LYPLA2 2
KDM4D 3
HNRNPF 6
GRAMD2B 4
ARHGAP29 1
PRSS22 1
KAT7 4
CPNE8 1
ZNF594 1
PCDHA8 1
SKP1 22
SEPTIN4 4
ULBP2 2
C1orf43 1
LST1 1
TENT5D 2
STX11 7
ECD 5
JAM3 3
TYK2 9
ISYNA1 4
GFOD1 3
LDHA 2
KRT6C 2
FYB1 6
NOTCH3 2
LMAN2 1
VPS54 1
ARHGEF4 5
SMIM1 1
ZNF185 1
FOXO6 2
ZSCAN20 1
PON1 1
CLIP1 6
ZBTB43 2
SLC9A3R2 9
GDPD1 1
STX10 2
PRMT5 15
ONECUT3 1
ARID3A 5
BRSK2 3
GEMIN4 2
TRIM26 5
XBP1 6
EMC4 1
TMCO3 1
DNAJC14 1
DTWD2 1
MYO5B 2
VKORC1L1 1
COQ4 2
MRPL23 2
GARIN2 1
ADORA2A 7
DGKQ 1
PLEKHG7 2
KLK5 2
MBL2 14
CA5A 1
MSH3 5
SLC5A2 1
TIMP3 1
HSPB8 6
HLA-DPA1 2
SOX6 2
RNF135 3
DAB2IP 4
ERAL1 3
CADPS 3
INPP5E 1
SLC51A 2
ERLIN2 3
NOS1AP 1
SRSF2 5
UTP25 2
SORT1 14
MIPOL1 4
BLNK 3
SUSD6 3
NPR2 2
OR7D4 1
TOM1 4
TMEM213 1
POU3F3 1
CENPX 2
SH2D1A 10
C8orf74 3
NDUFA7 2
HESX1 2
APOL5 1
SSTR3 3
PAICS 3
BAG4 4
PGK2 1
CXCL10 1
GTPBP2 2
FANCB 1
PGLYRP2 1
MAP4K3 6
HNRNPLL 7
CTAGE6 1
GIT1 4
ARMCX3 3
MAJIN 2
UBAP2L 3
BCL2 31
SS18L2 2
APC2 2
PAQR5 3
MATN1 1
RPL11 6
LRATD2 4
ALPL 2
ARF4 2
TLE2 4
RABIF 3
HOXA1 9
ELF5 3
IRAK4 9
OARD1 2
RPS6KA1 8
NEK11 5
ARHGAP19 2
MTMR12 2
S100A10 4
GTPBP3 2
KLHL18 3
RND2 1
C6 2
PPP1R35 1
CERCAM 1
PEX12 1
B3GALNT1 1
SNORC 1
