gene study_attention
RAB34 8
NXPH2 15
SNTA1 29
MAN2A2 25
GRM1 3
FNTA 19
CCDC96 3
CHRNA6 3
ATG3 31
H1-7 2
GATA1 51
AVPR2 3
NR5A1 35
SLAMF7 15
TADA3 62
MFSD4A 13
WDR59 29
WNT5A 20
EIF4A1 59
NBEA 17
TSEN2 18
MATN2 5
HP 17
NFASC 8
ATIC 20
ASXL2 13
RPL6 92
APLF 32
SPG21 154
PISD 7
IL18RAP 4
NME1 42
CPNE3 9
MAB21L3 27
SYNCRIP 189
TBX15 15
YEATS2 27
CD36 12
SRRM4 28
NEUROD6 2
RNPEP 1
KRT78 27
EGF 6
DLG4 28
MMP15 2
XRCC2 11
CCL2 15
GABRQ 1
LIMD1 35
LYPLA2 11
KDM4D 5
GRAMD2B 26
PRSS22 1
ZNF594 2
PCDHA8 2
SEPTIN4 21
C1orf43 27
TENT5D 12
ECD 42
TYK2 59
KRT6C 38
FYB1 21
VPS54 8
SMIM1 53
ZBTB43 29
GDPD1 23
STX10 27
PRMT5 112
BRSK2 2
TRIM26 54
XBP1 15
EMC4 19
MYO5B 35
GHDC 23
COQ4 13
FAM71F1 2
SPRYD3 6
PLEKHG7 7
KLK5 40
MBL2 5
ASPG 11
C19orf33 1
MSH3 13
SLC5A2 1
HSPB8 37
RNF135 16
DAB2IP 16
CADPS 11
ERLIN2 68
SLC25A16 13
BLNK 10
NPR2 2
C12orf66 4
C8orf74 10
TMEM213 5
XKR8 1
HESX1 9
SNRPN 103
APOL5 7
SSTR3 9
CLRN1 26
PAICS 49
CXCL10 17
HMGCS2 3
FANCB 13
HNRNPLL 47
VWA7 1
GIT1 56
BCL2 42
PAQR5 7
MATN1 2
RPL11 65
ALPL 9
ARF4 36
HOXA1 260
OARD1 3
RPS6KA1 35
NEK11 6
PPP1R35 7
CERCAM 55
SNORC 22
WDR97 1
CMPK1 14
CDK5R1 20
PDGFB 60
EPG5 1
USPL1 16
C16orf72 3
NWD1 3
MGAT3 1
ALDH3B1 31
DIP2B 10
MMP3 8
LRTOMT 1
MYC 760
MYL6 60
NUP43 27
SYF2 38
VPS4A 27
PCDHGB5 2
GAREM2 1
FBN3 14
PFKFB4 13
XPO7 51
STARD9 8
UFSP1 39
MYCL 44
DUSP26 12
CACNA1G 2
LRRC61 8
CIB4 8
CPSF2 22
FAM166A 5
RPF1 33
SCNN1D 21
APCDD1 9
PCDHB2 1
SLC12A7 27
MCAM 16
ARHGEF19 6
PHF24 5
NPHP3 16
SART3 105
OAT 34
COPB2 45
COPS5 676
OAS2 5
MRPL32 25
TAOK3 5
SMARCA4 89
FANCG 46
CTSK 6
TNMD 14
CFAP94 5
CDK1 112
HRNR 26
CUL5 350
SMDT1 5
TLDC2 5
CYFIP2 37
CSPP1 46
FMC1 75
RDH11 15
METTL22 2
KIF2A 65
FBXL13 3
ZNF699 7
KLHL15 40
TIGD3 8
TRIM73 1
TTC39B 4
POLI 13
TRIM63 152
MAOA 5
CTNNA2 18
SIGLEC9 13
MED20 121
SMCO1 5
DAAM2 7
DCAF8L1 1
PSMC4 78
TNRC6C 33
TMEM59L 10
CCDC185 37
FHOD3 1
PSME3 130
ATP5PF 55
STARD4 6
FYCO1 46
CPT1B 2
MPPED2 14
RALGAPA2 6
SH2D1B 26
WLS 19
TCERG1 22
EFCAB14 3
SCIN 12
MAPRE2 30
ACTL8 13
RAB10 38
ADAM12 43
MICAL2 3
CLCN6 2
FAM220A 2
SLC5A11 2
RNH1 30
TTC34 2
ATP10B 1
KIF16B 19
LATS2 13
GTPBP1 20
NCR3LG1 38
EIF3I 65
MAIP1 76
ANAPC5 40
SCIMP 7
SPPL2A 2
TGFA 6
ISLR 38
GIT2 23
MXRA5 1
ZNF354B 1
ZNF248 1
FGF2 16
ID2 47
MAPKAPK5 8
LTF 27
TBC1D32 6
LRRC26 1
SFT2D2 27
RAC2 16
GRM5 3
KCNG3 1
PRG4 2
MCOLN2 1
PIAS1 43
KRT6B 43
EPHA7 37
HINT2 6
TMTC2 4
PRR16 4
EHBP1L1 1
AGPAT3 30
CLPB 51
ASB16 7
EZH1 13
SNX12 9
DCLK2 2
SLC22A14 1
METTL21A 15
VPS13C 16
CSMD2 7
TENM3 23
ZNF326 39
MRPL1 74
ZYG11B 37
NR2F1 12
THBS4 1
NUP42 17
B3GNTL1 2
H3C14 15
KCNIP2 11
NLE1 19
MBD3L3 1
ATP6V1A 81
APBA3 41
DLX4 14
ZC3H11A 30
C3orf52 73
LHX3 69
DLGAP4 30
RIPK2 53
ZNF334 3
STX1A 130
NIF3L1 84
LOC118142757 8
HOMER3 98
KCNJ2 11
IL1RL1 15
RBM34 125
PIGC 2
KIAA0408 27
TPD52L2 19
PLXND1 7
PRXL2C 1
ERBIN 45
SRRM1 39
ITIH1 4
ZNF578 16
PEX10 9
SNRNP25 16
HTD2 1
PRDM6 73
PUS7 5
KCNIP1 15
INSL6 18
MOSPD3 16
ECE1 13
CPLX4 99
ADRA1A 32
SNTB2 33
DTX1 12
KNL1 33
HSD3B7 47
RASD2 4
FAM83H 44
JAG2 14
SEC22A 104
S100A1 13
SCN4B 1
EHD3 9
ELMO3 14
TP53INP2 1
B4GALT1 13
L3HYPDH 11
TXNDC16 16
DDX10 29
GET1 35
KLHL10 38
PTGDS 13
SKIDA1 2
DEF8 33
B4GALT4 8
TFAP2A 86
TMEM114 1
MCF2L2 7
TYRP1 3
EIF3E 72
KDR 41
KATNAL2 44
PPP1R21 35
RHNO1 11
ZNF181 3
RNFT1 4
NF1 20
LHX6 25
ZNF691 6
SSUH2 4
ETNK1 14
LIN7C 37
MT2A 11
SLC6A2 1
FCGBP 4
TGM7 19
H2AC18 11
ZMYND19 71
RAD51 81
TEKT5 43
ARMCX1 7
GANAB 56
DEFB103B 10
FOXC1 45
DYNC1I1 39
PUM3 89
SNAI3 2
NDUFAF8 24
CCNYL1 32
APEH 9
M6PR 10
NLGN4X 2
PIWIL2 7
TMEM258 6
ZFP64 19
GORASP2 137
HDLBP 44
RILPL2 8
TRNAU1AP 2
CYP27C1 2
LRIG2 2
AGK 25
EVA1B 5
EIF4EBP2 4
MAP1LC3C 71
FAM8A1 27
CRYBB1 11
PSPH 17
OR7G1 1
SP140 1
SNURF 8
SPINK9 1
TSC22D3 17
SPATA25 1
HTR1B 5
IMPA1 4
RPS15A 37
PSMB9 61
ZC3H15 20
FREM1 1
PYROXD1 1
GATA3 39
KCNAB2 20
AARSD1 135
C14orf39 4
ORC2 43
TMEM200A 13
NUS1 23
ABCA3 18
SYCE1 47
NOC2L 43
ELOC 66
COL11A2 5
NAA15 30
CEPT1 25
B3GNT7 1
PGLS 5
LTK 5
METTL2A 13
HSH2D 11
LTO1 3
MAP3K3 162
NUP58 50
SLC43A2 6
ITFG2 13
STN1 48
PFAS 20
MRPS16 29
LSM12 24
GRM2 22
PDCL 34
OR7A17 2
SLC30A3 26
NFATC3 5
SLIT2 7
GEMIN5 54
NADK2 3
CACNB3 18
GPR37L1 49
ARPC2 36
RBIS 3
CDC20B 29
GPHB5 8
POMZP3 2
KIZ 11
PDGFD 19
TLR2 27
UBB 177
PPP1R3F 8
CRABP2 12
CD47 25
TBC1D22A 26
ANXA11 22
CSPG5 6
TRAF3IP3 69
CHORDC1 46
WEE1 20
CRX 96
HOXC8 92
NFAT5 5
IRS2 16
BTBD18 1
TSR3 22
SYPL1 13
UFC1 7
PLD1 22
LORICRIN 4
CRACR2A 37
GYPC 11
SLC9A6 29
ESM1 12
ACOT8 11
IGFBP4 3
STX17 34
ZNF852 4
UCHL5 69
SORD 12
RAB42 1
INTS5 23
C15orf48 173
MRPL34 30
TRAK2 28
TSPAN8 5
LAYN 5
ZNF251 5
PALD1 11
ERCC6 17
CD74 130
ICA1 10
MLST8 30
SRGN 15
BMPR1B 4
PTGR2 5
CEP20 16
PAPSS2 6
HBA1 54
BARX2 2
RNF34 16
PMF1 48
PNLIP 9
RPS25 45
TBC1D1 34
PTPN4 26
CRADD 14
CLPX 58
TLCD2 2
UBE2R2 19
TSPAN3 47
ULBP1 7
SELENOV 10
CHRNA3 31
COQ2 87
ASPHD1 1
IZUMO1 20
WFDC13 1
HTR6 26
FBXL5 26
GNPNAT1 10
