gene bait_usage
29127 1
29844 1
80829 1
25894 1
391723 1
10464 1
552900 3
654483 1
374462 1
57634 1
199223 1
101928527 1
102724428 1
11343 1
2993 1
6404 1
55890 1
54556 1
10201 1
23200 1
27033 1
5727 1
123688 2
80032 1
24139 1
9922 1
10542 1
123016 2
780 1
100130520 2
825 1
2176 1
2202 1
5546 3
6049 1
9050 2
22899 1
27232 1
54971 1
55454 2
55342 1
57679 1
79777 1
83549 1
151531 1
550643 1
2543 1
100505478 1
647135 1
5602 1
8621 1
9674 1
7284 1
65095 1
84561 1
54502 1
79989 1
203062 1
79733 1
580 1
55236 1
57488 1
83850 1
219541 1
80726 1
102724631 1
57698 1
79064 1
130106 1
140711 1
152573 1
389549 1
144404 1
643236 1
645104 1
152078 1
79658 1
90835 1
340069 1
337963 1
338440 1
63027 4
115703 1
338699 1
54959 1
130074 1
10994 1
441631 1
284184 1
644186 1
26030 1
729428 1
100132399 1
729431 1
729422 1
54754 1
284297 1
123722 1
285590 1
137392 1
400120 1
257019 1
138639 1
6194 1
124093 1
162967 1
253769 1
155006 1
51594 1
123283 1
219854 1
9840 1
440087 1
57613 1
129450 1
343263 1
440955 1
340204 1
149069 1
282969 1
5001 1
222255 1
340277 1
54103 1
85865 1
29062 1
346689 1
401409 1
136242 1
3624 1
255374 1
10652 1
816 1
392862 2
8330 1
8332 2
8336 1
8329 1
8969 1
10903 1
79729 1
134121 2
129446 2
348174 2
55048 2
115948 1
5662 2
84626 3
80006 1
285242 2
23019 1
445328 2
57571 2
50618 5
392307 1
283234 2
123103 2
390243 1
644815 7
401994 2
554235 1
342979 3
283871 1
255275 1
340390 1
653657 1
91433 2
378950 1
84218 2
285679 1
644096 1
388939 1
441161 1
780776 1
388743 1
344787 2
79861 1
100170841 2
23347 3
343930 1
143872 1
196074 3
284338 1
342933 3
142686 1
644943 2
80003 1
138715 2
7355 1
342931 1
388333 1
642843 1
22829 1
127255 1
8933 3
57644 2
9743 1
9755 1
84530 3
4978 1
100287171 2
8773 4
5704 1
124599 1
655 1
131377 1
9370 1
5518 1
9814 1
146540 1
64147 2
112479 1
255877 1
375791 3
6285 2
201254 2
79740 2
730112 2
344022 1
92482 1
751071 1
389136 2
613227 1
255809 1
253012 1
51105 3
441925 1
389207 1
440836 1
342900 2
402569 1
9474 2
57409 1
207 2
1719 1
9200 1
4174 1
553158 1
6595 1
2786 1
10277 1
92181 1
5567 1
3767 1
222967 1
728194 1
4598 1
387911 1
4649 1
388468 1
402117 1
388588 1
284067 1
10579 3
100128927 3
440563 4
79810 2
22858 2
3093 1
8601 2
80830 2
5034 2
3303 2
5515 9
23132 1
79828 1
283953 1
54971 2
805 1
801 2
808 1
6607 1
6606 1
79665 1
23097 1
10910 1
