gene study_attention
91272 12
2091 287
359710 4
4752 7
245711 6
23764 16
9973 4
65999 8
1075 11
124975 9
6555 11
80329 7
92104 25
60677 2
150223 3
7153 48
51390 51
338674 9
4735 1
10983 7
23466 3
1022 104
70 40
10300 40
389123 1
23254 11
2705 44
129831 40
162514 1
79929 1
54899 10
2919 8
9325 7
23234 28
64777 24
7180 5
2288 64
113730 6
143 24
6483 7
55783 9
60626 5
335 1
5660 34
79145 1
23274 20
22980 3
2563 1
23398 24
8349 17
408050 2
124783 23
4929 4
4638 2
55638 16
7381 13
54545 18
55295 33
54815 5
22828 37
60528 1
79917 15
10162 1
340719 18
83932 21
58512 1
84618 11
132158 19
51069 4
79140 54
83900 26
11275 18
10001 125
84612 51
1943 33
64386 84
23510 1
2203 2
9919 17
23469 38
2549 1
53405 2
6643 14
81793 17
8303 1
55216 5
54680 36
388333 11
4703 1
8760 4
51506 123
22917 24
285598 11
9777 27
26984 28
256364 8
90701 3
56033 24
85236 31
6729 104
6738 12
56902 41
5423 4
23200 1
10252 13
440498 16
283820 11
57569 27
898 26
3094 1
9402 78
7439 11
27245 5
84299 1
51634 1
2976 18
54532 67
29925 4
395 18
579 12
80776 18
8646 48
51491 1
51386 11
8909 1
146057 1
10024 1
284111 1
8193 71
22798 46
6753 22
1048 1
56654 2
153020 5
124220 14
133396 37
55122 18
132 11
23562 1
9877 10
833 6
55364 33
114483834 6
10061 40
80852 24
1084 22
10966 1
3856 1
100499483 4
9512 1
133686 32
221301 11
8445 17
115416 27
353133 6
23307 4
115704 8
2539 43
340359 22
122509 53
23244 3
26091 15
390443 12
51013 46
340481 65
10096 22
146822 28
27134 3
55191 1
10106 1
10566 95
10067 1
55847 1
10389 16
374654 4
80895 6
284273 1
56898 1
2671 18
51534 52
891 5
410 4
4300 2
3785 28
6617 5
3996 25
114569 10
10523 18
401994 60
146894 40
115560 8
11260 11
5076 29
3841 19
23194 58
3679 29
115703 44
1896 2
320 12
58527 38
5522 51
9564 62
11164 2
64118 1
7634 6
9093 4
2060 34
26156 18
3932 18
91894 6
57821 24
2001 3
25852 71
55012 9
51725 4
57153 39
7436 253
84061 7
285533 1
51164 25
164237 5
27316 9
23266 2
256933 69
8745 1
10328 1
493856 6
4239 2
22993 1
51373 1
201475 3
1395 69
83987 31
79971 6
9751 4
8554 6
2308 1
2491 1
57830 27
124512 2
317719 88
10362 12
64241 26
203068 2
10307 21
84148 89
4066 3
8078 8
10439 15
1737 11
11007 1
4946 2
6183 12
8556 4
54431 19
126 4
5147 44
10079 30
64110 11
728637 3
55324 2
5683 38
10514 31
91050 7
3312 1
54659 3
9516 23
7581 12
284498 2
79841 1
5432 12
55287 1
84858 29
79684 20
157769 1
84679 8
6695 46
100134938 2
2517 24
57679 28
285600 6
4947 2
11074 1
388588 48
54996 76
64282 3
201294 6
8331 9
93380 62
399694 1
54948 1
60506 3
10045 70
9831 1
340075 15
10138 1
7468 20
89932 2
54764 2
58515 3
9362 18
8666 13
83543 17
3613 1
339390 6
3619 2
6736 54
8566 7
11267 15
100128327 1
51043 3
7148 149
222256 1
54538 30
80380 9
6256 6
7472 1
51001 4
90187 76
374454 28
91526 9
10351 163
80304 31
255189 13
83638 45
3015 6
8621 18
63901 27
80262 14
23731 2
5783 1
3281 12
64149 2
3791 20
23243 1
1719 24
147166 10
9138 3
51006 6
10384 1
5631 21
3049 36
160418 2
65083 49
84056 16
100131827 18
11144 19
64393 1
116844 44
51024 1
128077 1
1357 14
687 52
3045 45
8404 6
10752 34
116496 11
5457 24
26230 29
247 1
80267 14
390980 44
8842 105
107 1
641700 11
9061 18
2357 89
5286 1
311 4
7140 38
5420 9
10297 16
6122 31
126295 47
64412 1
51085 21
57553 16
114659 6
2073 109
5711 33
10233 2
7178 1
8710 1
3993 1
2571 8
28982 2
85477 8
2709 6
79817 5
164633 7
5901 4
5349 1
85013 8
7429 11
124944 9
10423 1
79090 30
10952 1
79041 4
27154 20
25851 3
55937 50
124790 3
23741 8
286205 1
84889 17
25930 7
54069 1
84343 12
51155 9
221960 2
51622 35
81855 1
6093 10
9107 1
28964 2
84167 125
9640 1
26471 12
23619 86
